title,function,function_group,industries,industry_group,cluster
"finance manager, international performance management - aarhus (12 month maternity cover)","finance,sales","Legal and Finance, Sales and Marketing","dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",12
le finance analyst,"finance,sales","Legal and Finance, Sales and Marketing","hospitals,health care",Healthcare and Pharmaceuticals,12
creative futures is looking for interns,"marketing,sales",Sales and Marketing,"advertising services,market research,online audio,video media",Services and Miscellaneous,12
communication professional,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",pharmaceutical manufacturing,Manufacturing,12
finance manager,"finance,sales","Legal and Finance, Sales and Marketing",manufacturing,Manufacturing,12
e-commerce data scientist,marketing,Sales and Marketing,"food,beverage services",Food and Beverage,12
freelance pattern translator - italian,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",manufacturing,Manufacturing,12
seo manager intern,"marketing,sales",Sales and Marketing,advertising services,Services and Miscellaneous,12
"training manager, nea",marketing,Sales and Marketing,manufacturing,Manufacturing,12
brand management traineeship (budapest),"marketing,sales",Sales and Marketing,manufacturing,Manufacturing,12
broadcast intern,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",advertising services,Services and Miscellaneous,12
earned/owned media manager & team lead,marketing,Sales and Marketing,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
product brand manager la roche-posay,"marketing,sales",Sales and Marketing,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
youtube video editor at gostek media sp.z o.o.,marketing,Sales and Marketing,e-learning providers,Services and Miscellaneous,12
store manager full-time,sales,Sales and Marketing,retail,Retail and Consumer Goods,12
head of operational finance,"finance,sales","Legal and Finance, Sales and Marketing",consumer services,Retail and Consumer Goods,12
compliance student assistant,"finance,sales","Legal and Finance, Sales and Marketing","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",12
marketing specialist,"marketing,sales",Sales and Marketing,"it services,it consulting",Services and Miscellaneous,12
"internship: pr, communication & social media","marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",software development,Technology and Information,13
"marketing analyst (remote, contract)","marketing,sales",Sales and Marketing,"technology,information,internet",Technology and Information,13
technical content specialist,marketing,Sales and Marketing,"technology,information,internet",Technology and Information,13
growth manager,"marketing,sales",Sales and Marketing,"technology,information,internet",Technology and Information,13
unsolicited application - sales development representative (full-time) - any language,"sales,customer service","Customer Service, Sales and Marketing","software development,technology,information,internet,legal services","Other, Technology and Information",13
content director at hrtechx,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","technology,information,internet",Technology and Information,13
community manager,"marketing,sales",Sales and Marketing,software development,Technology and Information,13
finance manager at hrtechx,"finance,sales","Legal and Finance, Sales and Marketing","technology,information,internet",Technology and Information,13
cfo at retail insights,"finance,sales","Legal and Finance, Sales and Marketing","technology,information,internet",Technology and Information,13
"sales account manager, denmark",sales,Sales and Marketing,"technology,information,internet",Technology and Information,13
event & partnership marketing manager,"marketing,sales",Sales and Marketing,software development,Technology and Information,13
"intraday power trader - dubai, uae","finance,sales","Legal and Finance, Sales and Marketing","technology,information,internet",Technology and Information,13
senior category manager - indirect procurement (f/m/x),"marketing,sales",Sales and Marketing,"technology,information,internet",Technology and Information,13
marketing automation expert (fully remote - emea),"marketing,sales",Sales and Marketing,"technology,information,internet",Technology and Information,13
field marketing manager,"marketing,sales",Sales and Marketing,"computer,network security","Other, Technology and Information",13
